"Step","algo_type: robust - reward","algo_type: robust - reward__MIN","algo_type: robust - reward__MAX","algo_type: vanilla - reward","algo_type: vanilla - reward__MIN","algo_type: vanilla - reward__MAX","algo_type: r2 - reward","algo_type: r2 - reward__MIN","algo_type: r2 - reward__MAX"
"0","-0.6625786085067698","-0.8095246073075324","-0.5791996422278708","-0.6625786085067698","-0.8095246073075324","-0.5791996422278708","-0.6625786085067698","-0.8095246073075324","-0.5791996422278708"
"1","-0.6351540784147578","-0.6832106712682615","-0.5770577553461117","-0.6361976300427842","-0.6832106712682615","-0.5770577553461117","-0.6351540784147578","-0.6832106712682615","-0.5770577553461117"
"2","-0.691522573394278","-1.029877763985579","-0.5773976230733294","-0.7194182096255126","-1.0482523966231712","-0.5766243864479329","-0.691522573394278","-1.029877763985579","-0.5773976230733294"
"3","-0.7565016833538366","-0.9977345493416058","-0.6434296164497014","-0.7124765538655021","-1.0628484051139366","-0.5661457863427598","-0.7565016833538366","-0.9977345493416058","-0.6434296164497014"
"4","-0.9147292597417309","-2.013722177052171","-0.5736085387276671","-0.9906336861781735","-1.8811330374053712","-0.5736085387276671","-0.9147292597417309","-2.013722177052171","-0.5736085387276671"
"5","-1.401876199811734","-3.6187133610472757","-0.6601230920646644","-1.2616414871842678","-2.7259355938648744","-0.6023839645261391","-1.3914045964460842","-3.6187133610472757","-0.6601230920646644"
"6","-1.3182371006208962","-3.687627014433126","-0.5426160628545735","-1.9408562475208069","-4.68147597515839","-0.5608834351396306","-1.4784887168152345","-3.687627014433126","-0.5426160628545735"
"7","-1.3639337059906216","-4.288472568650414","0.6406727115376588","-0.9817171279248897","-2.5896666381784623","-0.5880055105862971","-1.352288327986203","-2.574709675321507","-0.5760754844974957"
"8","-0.9581296766229191","-2.1608500462940246","0.6112991061857331","-1.3465428557338206","-3.012697796261005","-0.563520430803878","-1.0204646266133246","-3.7674881488149565","0.5842038394655502"
"9","-1.1869201689397175","-3.9498149782960468","-0.6248612044464186","-1.137278181754245","-2.9577062673140713","-0.5985239736752368","-1.1839877526055114","-3.978665801467172","-0.6105790324721947"
"10","-1.1727331524277225","-3.4676109176205747","-0.5730638502705275","-1.0943244157026082","-3.5063488469464685","0.33184606129097005","-1.2015712870896464","-3.4676109176205747","-0.5730638502705275"
"11","-1.2148122854861818","-2.9583039777223608","0.7101250605828251","-0.9491380266111225","-2.208819125955757","0.4116034925404001","-1.1884843884916916","-3.7550444099190368","0.7101250605828251"
"12","-1.2549858071887896","-3.3820544561952817","0.610368006136162","-1.1315894378155642","-4.341872560420691","0.7780862114801161","-1.2823676143558778","-2.7043651464580343","-0.23635772235295194"
"13","-1.323833270953663","-2.6222345463429764","-0.6438930583632826","-1.412236931286168","-3.084119881414491","-0.5812776949942446","-1.3608809236424988","-3.645494007376333","0.7532354147959849"
"14","-1.298219236544592","-3.057860805613508","0.5548330740636429","-0.758177902205341","-2.1549538803682187","0.7916452819121189","-1.2780601718527576","-3.219543480380352","0.8129746289282971"
"15","-1.0963810084977226","-2.487795949730419","0.8117975348816722","-1.0751627881483827","-2.374720841219344","0.5334284018952111","-1.2050261044129233","-2.7758238520087852","0.6387592156795139"
"16","-1.2200298574931756","-3.8436399718130696","0.4001786017561372","-1.4387978336529559","-5.283017767226537","0.7609914520035547","-1.1649785688174399","-2.697981536107498","0.7153816383043443"
"17","-1.3049665438804923","-3.462328112302353","0.6203912435308574","-1.220860706841682","-3.652335481084799","0.8144494392458013","-1.04661318157673","-2.6743944477502084","0.8330131108329542"
"18","-1.0642496062268691","-3.3239112604537793","0.7545848252105531","-1.0719303237129918","-3.310750254549252","0.6438389121136412","-1.1596736339666975","-2.9506386246584837","0.6039086709124311"
"19","-0.9480252024014558","-2.656742314573249","0.8060161248226068","-1.2307856923619547","-3.1574279334165203","0.790551104100692","-1.4947060924862294","-5.029428700087173","0.7991779242512552"
"20","-0.9493544850118932","-3.2206927255237785","0.8045916442777012","-0.8755395069686547","-5.510910594072634","0.8261198566713451","-1.5166441205313703","-5.508244901329198","0.7365382684650887"
"21","-1.2864200577151645","-3.5477033726200906","0.7126045383883209","-1.1659775499765668","-3.7477170786416236","0.8298751065105285","-1.2202638862245148","-5.496296096828456","0.6645872311579906"
"22","-1.254963145663289","-3.73779967028018","0.7922869053865038","-1.1550916893477572","-3.651417443314869","0.7653475548335728","-1.0281133174611008","-4.2087099755360455","0.8007076606478678"
"23","-0.7711341935477497","-6.170911534355638","0.8390694099141451","-1.1864704181529706","-12.89075883916044","0.7968190300820055","-0.7193074736806595","-2.1524580247250387","0.7820323767937014"
"24","-1.4517587509584","-13.063458965009856","0.8572918386892707","-1.1904697499334502","-9.464583196307212","0.7495295781278035","-1.0002255933230473","-4.980379250761611","0.688996019665121"
"25","-0.9204418292023501","-3.172310497118501","0.7785051301405778","-1.2682247966300075","-14.084383596340501","0.7569116642360941","-1.1508915914025908","-3.686646540668461","0.8250744296747483"
"26","-1.0741284894541678","-3.9242033824811857","0.8297027328077002","-0.9654665526118807","-4.134933877045306","0.8702707028827178","-1.4075671974300936","-7.7371193618111205","0.8226254569781761"
"27","-0.9870625752212517","-3.34265648091218","0.7704564788868491","-0.9348400721952869","-3.8431959941218796","0.8598534988439199","-0.8726558438436149","-3.3660478267751985","0.8424957193030508"
"28","-0.9678407570600902","-9.900236889055861","0.8250529277988645","-0.690703745130726","-4.031712701418705","0.8026880961965948","-1.4480843273124246","-11.916559529978086","0.8802630012685481"
"29","-1.2457741152392836","-3.808364808884784","0.8104176702770927","-0.8586167383000602","-6.6588670778200925","0.8854374310739471","-1.9010449020068594","-10.831918393220649","0.6978475034490319"
"30","-1.0680318789021974","-10.726833600835846","0.8598837742863692","-0.5182312205545635","-2.972544251551643","0.8412139009933354","-0.8579017695798563","-8.865241451260712","0.8189243963228059"
"31","-2.264724993640338","-10.279894900924566","0.8059402288785663","-0.45739769444556383","-3.311566118803759","0.8674542524785717","-1.2126724723408442","-11.185650973219722","0.8346876087025661"
"32","-0.8210606124919111","-3.4793620003947976","0.8441190830893012","-1.2595851804506606","-23.38797203048442","0.860795018685043","-0.3744249484288229","-6.982208490473095","0.8439182314552076"
"33","-1.2906941998220565","-8.928256909571873","0.8851897119500705","-0.46524532192829493","-2.6444238909651197","0.8629250961907955","-1.7774761903677505","-7.971619104816387","0.8781828394082705"
"34","-0.12232121527910128","-4.564852735892893","0.8797886668678205","-0.6489085206909695","-8.68527024363126","0.8267572182394113","-1.230443217424593","-8.425333869555232","0.8641019700243457"
"35","-0.803339989077376","-5.283072317403856","0.85833481375553","-0.09835180478349","-3.5174742684441522","0.8860413404518289","-1.2071872612672494","-7.632232956335866","0.8379748482740688"
"36","-1.0351420673354161","-6.754791729256395","0.8410074458880912","-0.6524409023692992","-16.71741099720111","0.8913390453319032","-0.41314880300742163","-3.40984148274606","0.8470881805615764"
"37","-0.41695513814499024","-3.4214797813944937","0.8395049363696608","-0.20652686129902179","-5.144445476344878","0.8997185062294981","-0.5773420815444065","-9.305442239837411","0.881495380058848"
"38","-1.5102034644483748","-12.449921621766531","0.8727906518086088","0.25574866474486485","-3.1265067101764483","0.9012993456997085","-1.433470196006701","-9.892024121929225","0.7967841839234168"
"39","-0.6497010586495631","-5.1211408303202255","0.89979050191863","0.058249603011119214","-2.2679051867856783","0.8992470454126872","-0.7932875347355022","-5.702210273423022","0.8725091539453244"
"40","-0.9707228107269674","-7.673770106252057","0.8471370196414455","0.2959893229929861","-2.537088661376583","0.9022108732031928","-0.3774994392862982","-5.052935344371595","0.9003432549975271"
"41","-0.06438462351629078","-6.771466147046805","0.8891696669824039","0.10392523608452113","-2.5589798629079725","0.8936370230133719","0.01802818487687424","-2.868931798899996","0.8918270994385025"
